type	latitude	longitude	name	color
W	51.7168195	12.1041870		#00008c
W	51.6691484	12.0959473		#00008c
W	51.5838966	12.1508789		#00008c
W	51.5787764	12.2277832		#00008c
W	51.8815776	11.9091797		#00008c
W	51.9053074	12.0025635		#00008c
W	51.6231323	12.2909546		#00008c
W	51.6640378	12.3870850		#00008c
W	51.7219241	12.4749756		#00008c
W	51.7542401	12.5354004		#00008c
W	51.7967259	12.6040649		#00008c
W	51.8238958	12.6782227		#00008c
W	51.8425657	12.7249146		#00008c
W	52.0828818	12.3019409		#00008c
W	52.0676887	12.3321533		#00008c
W	52.0524905	12.3706055		#00008c
W	52.0220785	12.4282837		#00008c
W	52.0085554	12.4777222		#00008c
W	51.9730378	12.5518799		#00008c
W	51.9425718	12.5958252		#00008c
W	51.9391854	12.6425171		#00008c
W	51.9205556	12.6837158		#00008c
W	51.8968339	12.7386475		#00008c
W	51.8798821	12.7853394		#00008c
W	52.1233714	12.3184204		#00008c
W	52.1550191	12.3898315		#00008c
W	52.1638242	12.4777222		#00008c
W	52.1722473	12.5656128		#00008c
W	52.1452879	12.6040649		#00008c
W	52.1081921	12.6040649		#00008c
W	52.0727537	12.6040649		#00008c
W	52.0355975	12.5299072		#00008c
W	52.0643118	12.5820923		#00008c
W	52.1486587	12.6699829		#00008c
W	52.2681574	12.6425171		#00008c
W	52.2412561	12.6425171		#00008c
W	52.2160214	12.6507568		#00008c
W	52.1941397	12.6589966		#00008c
W	52.2698382	12.6919556		#00008c
W	52.2345283	12.7496338		#00008c
W	52.2126557	12.7853394		#00008c
W	52.1890886	12.8347778		#00008c
W	52.1638242	12.8869629		#00008c
W	52.1486587	12.9281616		#00008c
W	52.1199987	12.9693604		#00008c
W	52.0963824	13.0105591		#00008c
W	52.0710654	13.0902100		#00008c
W	52.0491124	13.1341553		#00008c
W	52.3286255	12.8073120		#00008c
W	52.3118371	12.8512573		#00008c
W	52.2816019	12.9364014		#00008c
W	52.2530274	12.9995728		#00008c
W	52.2378923	13.0572510		#00008c
W	52.2076067	13.1149292		#00008c
W	52.1890886	13.1643677		#00008c
W	52.1621394	13.1918335		#00008c
W	52.1436024	13.2714844		#00008c
W	52.1301161	13.3099365		#00008c
W	52.3554737	12.8567505		#00008c
W	52.3420516	12.9226685		#00008c
W	52.3386955	12.9830933		#00008c
W	52.3202321	13.1066895		#00008c
W	52.3000814	13.1890869		#00008c
W	52.2883226	13.2852173		#00008c
W	52.2799215	13.3950806		#00008c
W	52.2631146	13.4445190		#00008c
W	52.2563901	13.5104370		#00008c
W	52.4576830	13.0764771		#00008c
W	52.4225230	13.1753540		#00008c
W	52.3940395	13.2412720		#00008c
W	52.3722456	13.3236694		#00008c
